iter	Passed	Remaining
0	120	120809
1	121	60774
2	122	40705
3	123	30674
4	124	24683
5	124	20671
6	125	17837
7	127	15814
8	128	14144
9	129	12803
10	130	11704
11	130	10781
12	131	9996
13	132	9356
14	133	8778
15	134	8267
16	135	7814
17	135	7411
18	136	7052
19	137	6728
20	138	6435
21	138	6169
22	139	5925
23	140	5714
24	141	5512
25	142	5322
26	142	5151
27	144	5021
28	145	4876
29	146	4737
30	147	4601
31	147	4473
32	148	4353
33	149	4241
34	149	4135
35	150	4037
36	151	3941
37	152	3851
38	152	3764
39	153	3683
40	154	3607
41	155	3550
42	156	3480
43	157	3413
44	158	3353
45	158	3293
46	159	3236
47	160	3182
48	161	3136
49	162	3085
50	163	3036
51	163	2989
52	164	2943
53	165	2899
54	166	2857
55	168	2832
56	168	2792
57	170	2768
58	171	2731
59	173	2711
60	174	2679
61	174	2645
62	175	2615
63	176	2582
64	177	2551
65	178	2522
66	179	2492
67	179	2462
68	180	2433
69	181	2405
70	181	2377
71	182	2351
72	183	2324
73	183	2299
74	184	2274
75	185	2250
76	185	2227
77	186	2204
78	187	2183
79	188	2163
80	190	2156
81	190	2136
82	191	2113
83	191	2093
84	192	2074
85	193	2055
86	194	2036
87	194	2018
88	195	2000
89	196	1983
90	196	1966
91	197	1949
92	198	1933
93	198	1917
94	199	1903
95	200	1887
96	201	1872
97	202	1859
98	202	1844
99	203	1830
100	204	1816
101	204	1803
102	206	1794
103	206	1780
104	207	1767
105	208	1754
106	208	1741
107	209	1729
108	209	1716
109	210	1704
110	211	1692
111	211	1680
112	212	1668
113	213	1657
114	213	1646
115	214	1635
116	215	1623
117	215	1612
118	216	1602
119	217	1592
120	217	1583
121	218	1573
122	219	1564
123	220	1555
124	220	1545
125	221	1536
126	221	1526
127	222	1516
128	223	1507
129	223	1498
130	224	1489
131	225	1481
132	225	1472
133	226	1463
134	227	1455
135	227	1447
136	228	1438
137	229	1430
138	229	1422
139	230	1414
140	230	1406
141	231	1398
142	232	1391
143	233	1385
144	233	1377
145	234	1371
146	235	1364
147	235	1357
148	236	1350
149	237	1343
150	237	1336
151	238	1330
152	239	1323
153	239	1317
154	240	1310
155	240	1303
156	241	1297
157	242	1291
158	242	1284
159	243	1278
160	244	1271
161	244	1265
162	245	1259
163	245	1253
164	246	1247
165	247	1242
166	247	1237
167	248	1231
168	249	1226
169	250	1220
170	250	1215
171	251	1210
172	252	1204
173	252	1199
174	253	1194
175	254	1189
176	254	1184
177	255	1179
178	256	1174
179	256	1168
180	257	1163
181	257	1159
182	258	1154
183	259	1149
184	259	1144
185	260	1139
186	261	1135
187	261	1131
188	262	1127
189	263	1122
190	264	1118
191	264	1114
192	265	1109
193	266	1105
194	266	1100
195	267	1096
196	267	1092
197	268	1088
198	269	1083
199	269	1079
200	270	1075
201	271	1071
202	271	1067
203	272	1062
204	273	1058
205	273	1054
206	274	1050
207	274	1046
208	275	1043
209	276	1039
210	277	1038
211	279	1040
212	280	1037
213	281	1033
214	281	1029
215	282	1026
216	283	1022
217	283	1018
218	284	1015
219	285	1011
220	285	1007
221	286	1004
222	287	1000
223	287	997
224	288	993
225	289	990
226	289	986
227	290	983
228	291	980
229	291	977
230	292	973
231	293	970
232	294	969
233	295	965
234	295	963
235	296	959
236	297	956
237	297	953
238	298	950
239	299	947
240	299	944
241	300	941
242	301	938
243	301	935
244	302	931
245	303	928
246	303	925
247	304	922
248	305	920
249	305	917
250	306	914
251	307	911
252	307	909
253	308	906
254	309	903
255	309	900
256	310	897
257	311	894
258	311	892
259	312	889
260	313	886
261	313	883
262	314	881
263	315	878
264	315	875
265	316	872
266	316	870
267	317	867
268	318	864
269	318	862
270	319	859
271	320	856
272	320	854
273	321	852
274	322	849
275	322	847
276	323	844
277	324	842
278	324	839
279	325	837
280	326	834
281	326	832
282	327	829
283	328	827
284	328	824
285	329	822
286	329	819
287	330	817
288	331	814
289	331	812
290	332	810
291	333	807
292	333	805
293	334	803
294	335	800
295	335	798
296	336	796
297	337	794
298	337	792
299	338	790
300	339	787
301	339	785
302	340	783
303	341	781
304	341	778
305	342	776
306	343	774
307	343	772
308	344	770
309	345	768
310	345	765
311	346	763
312	346	761
313	347	759
314	348	757
315	348	755
316	349	753
317	350	751
318	350	749
319	351	747
320	352	745
321	352	743
322	353	741
323	354	739
324	355	737
325	355	735
326	356	733
327	357	731
328	357	729
329	358	727
330	359	725
331	359	723
332	360	721
333	361	720
334	361	718
335	362	716
336	363	714
337	363	712
338	364	710
339	364	708
340	365	706
341	366	704
342	367	703
343	367	701
344	368	699
345	369	697
346	369	695
347	370	693
348	370	691
349	371	690
350	372	688
351	372	686
352	373	684
353	374	682
354	374	680
355	375	678
356	375	677
357	376	675
358	377	673
359	377	671
360	378	669
361	379	668
362	380	666
363	380	665
364	381	663
365	382	662
366	382	660
367	383	658
368	384	657
369	384	655
370	385	653
371	386	652
372	386	650
373	387	648
374	388	647
375	388	645
376	389	643
377	390	641
378	390	640
379	391	638
380	391	636
381	392	634
382	393	633
383	393	631
384	394	630
385	395	629
386	397	628
387	398	627
388	398	626
389	399	625
390	400	623
391	401	622
392	401	620
393	402	618
394	403	617
395	403	616
396	404	614
397	405	613
398	406	612
399	407	610
400	408	609
401	409	608
402	409	607
403	411	606
404	412	605
405	412	604
406	414	603
407	415	602
408	415	600
409	416	599
410	417	597
411	418	596
412	418	595
413	419	593
414	420	592
415	421	591
416	421	589
417	422	588
418	423	587
419	424	585
420	425	584
421	426	583
422	428	584
423	429	583
424	430	582
425	431	581
426	431	579
427	432	578
428	433	577
429	434	575
430	435	574
431	435	572
432	436	571
433	437	570
434	437	568
435	438	567
436	439	565
437	440	564
438	442	564
439	443	564
440	444	563
441	445	561
442	445	560
443	446	559
444	447	557
445	448	556
446	448	555
447	449	553
448	450	552
449	450	551
450	451	549
451	452	548
452	453	547
453	453	545
454	454	544
455	456	544
456	457	543
457	458	542
458	459	541
459	460	540
460	461	539
461	462	538
462	463	537
463	464	536
464	465	535
465	465	533
466	466	532
467	467	531
468	467	529
469	468	528
470	469	526
471	469	525
472	470	524
473	471	523
474	472	522
475	473	520
476	473	519
477	474	518
478	475	516
479	475	515
480	476	513
481	477	512
482	477	511
483	478	510
484	479	508
485	480	508
486	481	506
487	481	505
488	482	504
489	483	503
490	484	502
491	486	502
492	487	501
493	488	500
494	488	498
495	489	497
496	490	496
497	491	495
498	491	493
499	492	492
500	493	491
501	493	489
502	494	488
503	495	487
504	495	486
505	496	484
506	497	483
507	498	482
508	498	481
509	499	480
510	500	479
511	501	477
512	502	476
513	502	475
514	503	474
515	504	472
516	504	471
517	505	470
518	506	469
519	507	468
520	507	466
521	508	466
522	509	464
523	510	463
524	511	462
525	512	461
526	513	460
527	515	460
528	515	459
529	524	465
530	525	464
531	526	463
532	527	462
533	529	461
534	531	461
535	532	460
536	533	459
537	534	458
538	535	457
539	536	456
540	536	455
541	537	454
542	538	453
543	539	452
544	540	451
545	541	450
546	542	449
547	543	448
